f_voter_turnout,year
51.4283696,1999
64.96212146,1999
67.2927721,2004
65.39027319,1999
67.70866214,1999
73.45691323,2014
68.12542225,1999
78.07522246,2014
67.73391688,1999
65.41398601,2004
63.90488263,1998
71.83775777,1999
69.8594424,1999
61.72078849,1998
67.32871545,1999
75.56247675,2009
60.7266315,1996
56.12829108,1996
68.23396814,1999
72.68468331,2009
74.18506795,2004
66.14563959,2009
63.84718687,1996
84.09534609,2014
76.88434609,2014
82.09998673,2009
64.04991256,1999
71.9230408,2009
51.93096112,2014
72.32939739,2004
80.40827931,2014
62.89078521,1996
74.53389293,2004
64.75956753,2004
74.45709418,2009
50.317841,2009
47.19319045,1996
61.68087499,1999
70.79071851,2014
63.45649733,1996
50.5023173,1998
73.04827784,2009
64.02374505,1996
66.47833829,1998
64.76312286,2004
66.53292377,2004
79.92700339,2009
81.24201232,2009
70.8024124,1998
67.56212079,1999
65.82478962,1999
63.80578808,1996
63.96668078,1999
79.98672501,2014
65.20564122,1999
75.17270676,2014
60.69590728,1998
51.75549896,2004
62.35914318,1998
64.54131109,1998
61.80522742,1998
52.80370736,2009
55.85112326,1998
63.93876035,1998
70.52293425,1998
67.07955165,1998
57.36692341,1998
57.96211791,1996
56.97153111,1996
65.18788784,1998
72.99407377,2014
62.3697187,2004
70.81173284,2004
71.15936554,1998
77.57693738,2009
64.31381299,1999
67.03265813,2004
59.07037215,1996
66.34401052,1999
67.05540763,1998
71.37986161,1998
75.1399654,2004
82.04307738,2014
70.26015215,2014
81.74088523,2014
58.73078285,2004
75.20670028,2014
77.58025576,2009
65.13296054,1999
71.63311335,1999
73.50095916,1999
78.06784629,2004
74.9639366,2009
56.87366866,1996
75.43415716,2009
61.08770506,1998
65.45545966,1996
68.33597748,1999
64.90158303,1996
69.14859771,2004
67.40881753,1996
48.38945803,1996
74.26474258,2004
79.39519244,2009
58.74965108,1996
73.63101342,2014
59.25089409,1998
76.09546377,2014
54.29462675,1996
67.79619396,1996
68.65885249,1999
65.53812524,1999
62.28038463,1998
75.51654832,2014
64.41631844,2009
47.98058664,1996
71.62410611,2014
69.90434906,2014
60.75698501,1996
83.15251376,2009
53.77601919,1996
65.96650147,1999
71.00952662,2009
76.26101059,2009
71.68441424,1999
73.90583052,2009
62.45552267,1996
81.31291797,2014
62.19295478,2004
62.27850294,2004
68.04081888,2014
75.39475423,2004
55.0614948,1996
80.35616742,2014
51.21166974,1998
55.08563528,1996
62.99755207,1998
69.61062834,1999
81.74830584,2014
60.10615049,1996
58.22741498,1998
67.57367831,1998
76.06677189,2009
63.67025053,1996
68.07813531,2009
71.48511005,2009
69.62336142,1999
48.95456346,2004
64.36546832,2009
76.66212599,2014
73.62807491,1999
74.47463331,2004
61.02258306,2004
81.38215951,2014
55.04750996,1996
75.96572879,2014
83.63810289,2014
75.33469787,2014
69.17190819,2009
75.75855702,2014
68.56971792,2009
69.47473702,1996
58.6178057,1998
64.64170211,1996
67.39823132,2009
70.67089773,1998
68.29900454,2009
73.20296644,2009
65.72872505,1996
61.77319899,2009
68.86070499,1998
74.57456231,2004
50.72476555,1998
69.55021339,2004
68.06011678,2004
69.95372942,1998
80.18767493,2014
74.64618473,1999
83.48263585,2009
64.21625748,1999
77.9743831,2014
66.12932596,1999
76.40974209,2009
59.47122588,1996
65.46233545,1998
77.27149616,2009
59.80325556,2014
55.92826519,1996
64.91419531,1999
71.85354452,1999
51.64136086,2014
80.39170782,2014
58.6987993,1999
60.07143137,1998
59.30483671,1998
73.81139657,2004
64.2792354,1999
64.81063216,1999
62.44209114,1999
67.70713741,2009
50.79322771,2014
50.23959549,1996
72.49081761,2014
68.42933987,2004
77.18492959,2014
75.08040761,2009
66.1680284,2004
61.83482971,1999
70.43048344,2004
67.49028329,1996
72.37351148,2004
60.39707033,1996
82.44174721,2014
55.366051,1996
67.13181682,1998
62.82431609,2004
60.36997116,1998
66.53755375,2004
66.58428479,2009
62.24033078,1998
60.40955166,1996
69.86429202,1998
66.58740545,1996
67.89480342,1996
49.89415018,2009
81.29346809,2014
64.25706236,1999
77.88735003,2014
77.20386756,2009
69.50629113,2004
67.04741931,1998
61.74634617,1998
69.74103442,2004
56.93154169,1998
64.3731697,1999
69.42511178,2004
74.01176947,2009
62.06398777,1996
75.55718895,2004
74.61928765,1999
65.39179591,2004
62.25399357,2004
52.82670114,1998
59.36028065,1998
72.8887427,2009
82.15692297,2014
58.05392404,1996
77.50179847,2014
77.82034795,2009
73.01583935,2004
74.15159156,2004
74.13374768,2004
81.63652803,1999
55.44424734,2004
59.59725057,1998
55.40463241,1998
70.87499631,1999
53.07109524,1996
75.10749257,2014
69.92008162,2009
84.28152839,2014
65.40403577,2009
52.17553838,1996
55.22732706,2004
59.74318566,1998
60.03497083,1998
73.8436337,1999
68.70386042,1996
57.34827563,2009
80.55328301,1998
68.29853315,1999
57.45418928,1998
40.27924041,1998
72.78897821,1998
74.35989513,1999
71.77052406,1999
74.50025745,2004
