,StateName,f_voters_turnout,m_voters_turnout,year
0,Andhra Pradesh,51.42836960424773,57.999585066297065,1999
1,Andhra Pradesh,64.96212145759482,73.20354916549367,1999
2,Andhra Pradesh,67.29277209783875,72.48218569063613,2004
3,Andhra Pradesh,65.39027318582188,69.83749736369647,1999
4,Andhra Pradesh,67.70866213890784,70.16107106990474,1999
5,Andhra Pradesh,73.45691322544337,76.37822964901684,2014
6,Andhra Pradesh,68.1254222519684,75.37077125514665,1999
7,Andhra Pradesh,78.07522245757409,79.4132751731159,2014
8,Andhra Pradesh,67.73391687948379,71.38219556522594,1999
9,Andhra Pradesh,65.41398600522454,70.93504192877013,2004
11,Andhra Pradesh,71.83775777103453,79.11976276853038,1999
12,Andhra Pradesh,69.85944240203548,75.07051359473688,1999
14,Andhra Pradesh,67.32871545161512,70.08067012425853,1999
15,Andhra Pradesh,75.56247674911538,77.10943543547886,2009
18,Andhra Pradesh,68.23396813753992,72.54111285064648,1999
19,Andhra Pradesh,72.68468331214073,75.75735774451712,2009
20,Andhra Pradesh,74.18506795049186,78.77595994535068,2004
21,Andhra Pradesh,66.14563958790842,68.98403990395694,2009
23,Andhra Pradesh,84.09534609465805,85.05842731327587,2014
24,Andhra Pradesh,76.88434608510735,71.22759776710313,2014
25,Andhra Pradesh,82.0999867267347,84.02028598190834,2009
26,Andhra Pradesh,64.04991256106676,71.02220714788787,1999
27,Andhra Pradesh,71.92304080291046,75.63394692963519,2009
28,Andhra Pradesh,51.93096111510379,53.94168295910106,2014
29,Andhra Pradesh,72.3293973886391,77.16397530791555,2004
30,Andhra Pradesh,80.40827930831166,81.37317012466909,2014
32,Andhra Pradesh,74.53389292554982,77.32867059080665,2004
33,Andhra Pradesh,64.75956752707883,73.3283263674919,2004
34,Andhra Pradesh,74.4570941780682,77.78048252368035,2009
35,Andhra Pradesh,50.31784100450404,54.52414170236334,2009
37,Andhra Pradesh,61.680874991801346,66.57846817775737,1999
38,Andhra Pradesh,70.79071850897374,71.50999068807288,2014
41,Andhra Pradesh,73.04827783950397,74.44268936762664,2009
44,Andhra Pradesh,64.76312285680157,70.59589840430014,2004
45,Andhra Pradesh,66.53292377051783,72.54424855924188,2004
46,Andhra Pradesh,79.92700339458669,81.40639604544229,2009
47,Andhra Pradesh,81.2420123155571,82.13701462681631,2009
49,Andhra Pradesh,67.56212078982912,71.4861186717474,1999
50,Andhra Pradesh,65.8247896156528,70.99389764795623,1999
52,Andhra Pradesh,63.96668077575715,68.54611298714035,1999
53,Andhra Pradesh,79.9867250077188,81.95993209725681,2014
54,Andhra Pradesh,65.20564121535061,70.3596267366397,1999
55,Andhra Pradesh,75.17270676350618,76.05750733746488,2014
57,Andhra Pradesh,51.755498960213274,59.54846351238873,2004
61,Andhra Pradesh,52.80370735534211,56.791187622681996,2009
70,Andhra Pradesh,72.99407377196073,73.96284996793516,2014
71,Andhra Pradesh,62.369718700895206,67.93974411082527,2004
72,Andhra Pradesh,70.81173284108651,76.70637892615092,2004
74,Andhra Pradesh,77.57693738105576,79.64442331994675,2009
75,Andhra Pradesh,64.3138129869801,68.7110424470323,1999
76,Andhra Pradesh,67.03265813154148,72.88238952423728,2004
78,Andhra Pradesh,66.34401052351082,73.69491046419138,1999
81,Andhra Pradesh,75.139965397581,78.64829348272734,2004
82,Andhra Pradesh,82.04307737963572,82.19764735137076,2014
83,Andhra Pradesh,70.2601521476318,72.3416294138733,2014
84,Andhra Pradesh,81.74088522682523,81.22032121007965,2014
85,Andhra Pradesh,58.730782852992206,66.25997839824205,2004
86,Andhra Pradesh,75.20670028065726,75.42408509486908,2014
87,Andhra Pradesh,77.58025576356803,79.19402874063698,2009
88,Andhra Pradesh,65.13296054419527,72.43791925072776,1999
89,Andhra Pradesh,71.63311335147402,76.9943484641501,1999
90,Andhra Pradesh,73.50095916407771,77.51698272811235,1999
91,Andhra Pradesh,78.06784629111235,79.10805240780053,2004
92,Andhra Pradesh,74.9639365968989,77.06148602352832,2009
94,Andhra Pradesh,75.4341571631599,75.96743675038911,2009
97,Andhra Pradesh,68.33597748468479,74.39650793377473,1999
99,Andhra Pradesh,69.14859771339911,73.77069241185649,2004
102,Andhra Pradesh,74.26474257903405,75.29168594668391,2004
103,Andhra Pradesh,79.39519243522427,81.3971414702899,2009
105,Andhra Pradesh,73.63101342185541,70.84276600123482,2014
107,Andhra Pradesh,76.09546377367266,77.3386751821114,2014
110,Andhra Pradesh,68.65885249184689,73.76575868677749,1999
111,Andhra Pradesh,65.53812524109553,74.4900636796724,1999
113,Andhra Pradesh,75.51654832185588,76.78240793946313,2014
114,Andhra Pradesh,64.4163184427719,68.58480095003765,2009
116,Andhra Pradesh,71.62410611402282,71.75063553629619,2014
117,Andhra Pradesh,69.90434905527022,73.5517681962882,2014
119,Andhra Pradesh,83.15251376169397,85.1946882449398,2009
121,Andhra Pradesh,65.9665014651087,72.27488510646502,1999
122,Andhra Pradesh,71.00952662284912,73.4213161033742,2009
123,Andhra Pradesh,76.2610105873598,77.20577806555052,2009
124,Andhra Pradesh,71.68441423563752,75.95145644470125,1999
125,Andhra Pradesh,73.90583051633561,77.4369194688977,2009
127,Andhra Pradesh,81.3129179656822,82.21094762778924,2014
128,Andhra Pradesh,62.192954777974016,66.67758730366742,2004
129,Andhra Pradesh,62.278502938859404,77.23225025525232,2004
130,Andhra Pradesh,68.04081887772853,66.6620185642164,2014
131,Andhra Pradesh,75.3947542254959,80.06279434850863,2004
133,Andhra Pradesh,80.35616742344065,79.15859665248436,2014
137,Andhra Pradesh,69.61062834224599,74.21987603428335,1999
138,Andhra Pradesh,81.74830584261429,81.52919204363897,2014
142,Andhra Pradesh,76.06677188641953,72.97829942477966,2009
144,Andhra Pradesh,68.07813530649092,69.48889253735113,2009
145,Andhra Pradesh,71.48511004734746,74.73034771130051,2009
146,Andhra Pradesh,69.62336142183482,75.5391984250204,1999
147,Andhra Pradesh,48.954563461422254,55.97860611683676,2004
148,Andhra Pradesh,64.36546832072774,69.12957064952121,2009
149,Andhra Pradesh,76.66212598549437,78.01382227035948,2014
150,Andhra Pradesh,73.62807491309212,77.45660967138187,1999
151,Andhra Pradesh,74.47463330612277,78.39808329175271,2004
152,Andhra Pradesh,61.02258305753355,66.46016086974444,2004
153,Andhra Pradesh,81.3821595057298,82.39207648355351,2014
155,Andhra Pradesh,75.9657287920457,78.30498531242993,2014
156,Andhra Pradesh,83.63810289431031,84.87535973193458,2014
157,Andhra Pradesh,75.33469787491589,76.74374247131578,2014
158,Andhra Pradesh,69.17190818812439,72.00974711004132,2009
159,Andhra Pradesh,75.75855702463367,76.50603814657406,2014
160,Andhra Pradesh,68.56971792073706,68.66056693561346,2009
164,Andhra Pradesh,67.39823132224546,64.38852085360489,2009
166,Andhra Pradesh,68.29900454149272,70.11487005852833,2009
167,Andhra Pradesh,73.20296643583855,75.93419729655989,2009
169,Andhra Pradesh,61.77319899011181,67.03455680625808,2009
171,Andhra Pradesh,74.57456231478342,80.92990164932031,2004
173,Andhra Pradesh,69.55021338737659,76.20656846284925,2004
174,Andhra Pradesh,68.06011678226729,72.18368925923137,2004
176,Andhra Pradesh,80.18767492573706,81.41938370662216,2014
177,Andhra Pradesh,74.64618472521582,79.71657586940816,1999
178,Andhra Pradesh,83.48263584547809,84.5366203613122,2009
179,Andhra Pradesh,64.21625748014013,70.7792865828942,1999
180,Andhra Pradesh,77.97438309883249,80.05407202275475,2014
181,Andhra Pradesh,66.1293259615777,67.40871259559596,1999
182,Andhra Pradesh,76.40974208800944,78.22310932792608,2009
185,Andhra Pradesh,77.27149615918769,81.15283195283855,2009
186,Andhra Pradesh,59.80325555748297,60.27538872618188,2014
188,Andhra Pradesh,64.91419530792153,72.41910760803103,1999
189,Andhra Pradesh,71.8535445157689,77.9371325662902,1999
190,Andhra Pradesh,51.641360855914556,54.74460686323505,2014
191,Andhra Pradesh,80.39170782080912,81.47709051906016,2014
192,Andhra Pradesh,58.698799298673435,67.21990828049398,1999
195,Andhra Pradesh,73.81139656569539,77.7391898722779,2004
