,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation,Constituency1
86,Andhra Pradesh,AP,S01,1,Adilabad,687421,698717,1386282,518481,525482,1043965,2014,1,,1,ADILABAD
2553,Uttar Pradesh,UP,S24,1,Agra,1003777,810896,1814739,621497,448004,1069503,2014,396,,0,AGRA
705,Gujarat,GJ,S06,1,Ahmedabad East,852765,749057,1601832,557279,422980,980265,2014,107,,0,AHMEDABAD EAST
704,Gujarat,GJ,S06,1,Ahmedabad West,800933,733462,1534400,531702,428771,960475,2014,108,,1,AHMEDABAD WEST
1495,Maharashtra,MH,S13,1,Ahmadnagar,902928,802016,1705005,594749,465801,1060551,2014,260,,0,AHMEDNAGAR
1899,Rajasthan,RJ,S20,1,Ajmer,869322,813938,1683261,613187,540384,1153571,2014,324,,0,AJMER
2550,Uttar Pradesh,UP,S24,1,Akbarpur,977669,790872,1768635,559566,411414,970980,2014,422,,0,AKBARPUR
1487,Maharashtra,MH,S13,1,Akola,882014,790609,1672643,543956,433633,977589,2014,229,,0,AKOLA
1088,Kerala,KL,S11,1,Alappuzha,611877,659447,1271324,477034,517975,995009,2014,189,,1,ALAPPUZHA
1156,Kerala,KL,S11,1,Alathur,591950,624401,1216351,452923,474384,927307,2014,183,,1,ALATHUR
2381,Uttar Pradesh,UP,S24,1,Aligarh,965995,827010,1793126,596880,467715,1064597,2014,393,,0,ALIGARH
2789,West Bengal,WB,S25,1,Alipurduars,755765,715138,1470911,619392,603041,1222433,2014,460,,1,ALIPURDUA
2641,Uttar Pradesh,UP,S24,1,Allahabad,917403,749001,1666569,506755,384075,890833,2014,430,,0,ALLAHABAD
3160,Uttarakhand,UK,S28,2,Almora,639362,614162,1253541,316094,339409,655504,2014,528,,1,ALMORA
2009,Rajasthan,RJ,S20,1,Alwar,870044,756398,1626442,585823,473846,1059669,2014,319,,0,ALWAR
225,Andhra Pradesh,AP,S01,1,Amalapuram,682606,675208,1357865,565013,548900,1113914,2014,24,,1,AMALAPURAM
790,Haryana,HR,S07,1,Ambala,909641,782783,1692424,667712,551882,1219594,2014,127,,0,AMBALA
2602,Uttar Pradesh,UP,S24,1,Ambedkar Nagar,923552,795143,1718774,541195,493159,1034355,2014,433,,0,AMBEDKAR NAGAR
2284,Uttar Pradesh,UP,S24,1,Amethi,890648,779148,1669843,461524,413341,874865,2014,415,,0,AMETHI
1481,Maharashtra,MH,S13,1,Amravati,848217,764503,1612739,554649,446414,1001063,2014,230,,0,AMRAVATI
629,Gujarat,GJ,S06,1,Amreli,777662,708624,1486286,455668,349837,805505,2014,114,,1,AMRELI
1854,Punjab,PB,S19,1,Amritsar,779164,698076,1477262,537622,469488,1007110,2014,300,,1,AMRITSAR
2465,Uttar Pradesh,UP,S24,1,Amroha,829444,714712,1544245,589753,505978,1095731,2014,387,,0,AMROHA
138,Andhra Pradesh,AP,S01,1,Anakapalli,689109,712301,1401474,561825,582294,1144120,2014,22,,1,ANAKAPALLE
735,Gujarat,GJ,S06,1,Anand,781118,715737,1496859,539236,427943,967179,2014,116,,1,ANAND
1798,Punjab,PB,S19,1,Anandpur Sahib,817186,747512,1564721,554688,532346,1087034,2014,304,,0,ANANDPUR SAHIB
227,Andhra Pradesh,AP,S01,1,Anantapur,775506,761243,1536894,612936,592912,1205849,2014,36,,0,ANANTAPUR
857,Jammu & Kashmir,JK,S09,2,Anantnag,685000,616104,1301143,211595,163643,375238,2014,143,,1,ANANTNAG
3185,Andaman & Nicobar Islands,AD,U01,2,Andaman & Nicobar Islands,142783,126577,269360,101129,89084,190213,2014,531,,1,ANDAMAN & NICOBAR ISLANDS
2628,Uttar Pradesh,UP,S24,1,Aonla,917053,736487,1653577,572213,422483,994700,2014,402,,0,AONLA
2050,Tamil Nadu,TN,S22,1,Arakkonam,693100,708671,1401813,543169,543863,1087042,2014,344,,1,ARAKKONAM
2970,West Bengal,WB,S25,1,Arambagh,833629,766658,1600293,707257,654127,1361384,2014,487,,0,ARAMBAG
2224,Tamil Nadu,TN,S22,1,Arani,683921,685715,1369668,546222,546279,1092502,2014,349,,1,ARANI
394,Bihar,BH,S04,1,Araria,843076,744212,1587332,492513,483291,975804,2014,67,,0,ARARIA
403,Bihar,BH,S04,1,Arrah,1016299,808210,1824515,517499,375555,893054,2014,90,,0,ARRAH
83,Andhra Pradesh,AP,S01,1,Aruku,622101,650158,1272340,450038,456802,906864,2014,18,,1,ARAKU
260,Arunachal Pradesh,AR,S02,2,ARUNACHAL EAST,160151,152553,312704,126888,128574,255462,2014,44,,1,ARUNACHAL EAST
258,Arunachal Pradesh,AR,S02,2,ARUNACHAL WEST,219415,227225,446640,155623,170663,326286,2014,43,,1,ARUNACHAL WEST
2906,West Bengal,WB,S25,1,Asansol,791896,677774,1469684,633286,509230,1142518,2014,498,,1,ASANSOL
1723,Odisha,OD,S18,1,Aska,750999,657756,1408780,449644,446046,895690,2014,296,,1,ASKA
1082,Kerala,KL,S11,1,Attingal,575780,675618,1251398,394491,462016,856507,2014,193,,1,ATTINGAL
