,censuscode,meanfire
0,157,0.0
1,209,0.0
2,167,0.0
3,212,0.2361486
4,208,0.2557847
5,206,0.261836
6,207,0.337242
7,222,0.5270695
8,239,0.6402891
9,150,0.6788546
10,227,0.71321
11,237,0.7174313
12,233,0.760783
13,225,0.8219663
14,236,0.843249
15,234,0.8693287
16,135,0.8799098
17,235,0.884397
18,137,0.9126413
19,240,0.9797243
20,136,1.058712
21,44,1.062519
22,216,1.25011
23,166,1.25732
24,205,1.26345
25,151,1.576299
26,224,1.722187
27,215,1.755577
28,232,1.845583
29,230,2.086252
30,152,2.140719
31,46,2.360987
32,228,2.417013
33,194,2.484492
34,229,2.553364
35,220,2.710262
36,84,3.057661
37,231,3.144296
38,223,3.454923
39,165,4.134165
40,146,4.180721
41,226,4.24812
42,45,4.487968
43,213,4.56892
44,219,4.799597
45,145,4.834777
46,193,4.936054
47,164,5.144272
48,214,5.205241
49,218,5.227091
50,211,5.247148
51,182,5.320053
52,175,5.516303
53,188,5.583938
54,173,5.606147
55,81,5.626278
56,47,5.713954
57,183,6.139876
58,43,6.529567
59,172,6.790749
60,179,6.876337
61,181,6.879216
62,210,7.052425
63,198,7.216696
64,221,7.674551
65,85,7.686976
66,184,7.896179
67,195,7.931406
68,168,8.157417
69,186,8.612735
70,204,9.581775
71,185,9.660114
72,203,10.04477
73,190,10.30484
74,144,10.41758
75,87,10.69955
76,201,10.75298
77,191,10.89867
78,180,11.01045
79,197,11.05455
80,158,11.08508
81,217,11.51386
82,174,11.65807
83,54,11.78442
84,199,12.39483
85,238,12.7488
86,156,12.76991
87,202,12.79073
88,187,13.12052
89,189,13.35414
90,196,14.01964
91,53,14.23675
92,169,14.62688
93,82,15.3337
94,83,16.18801
95,192,16.24061
96,143,16.51346
97,147,17.88901
98,76,18.53382
99,89,20.68342
100,42,23.28642
101,50,24.56428
102,142,24.89888
103,48,25.24089
104,86,26.34878
105,49,27.8604
106,163,27.87717
107,162,28.77468
108,138,29.95636
109,177,30.78423
110,161,30.79754
111,176,31.33824
112,148,39.76301
113,160,40.7809
114,88,44.08985
115,159,48.73631
116,74,52.48683
117,155,53.08966
118,178,53.15207
119,41,55.5336
120,171,56.31068
121,149,56.69872
122,80,58.13279
123,141,59.39711
124,38,74.67944
125,200,75.14677
126,170,78.01886
127,154,81.81571
128,132,96.67355
129,140,97.37775
130,139,103.8199
131,69,106.8421
132,79,109.591
133,78,119.6201
134,77,133.1192
135,153,146.1667
136,36,155.1215
137,35,157.8081
138,133,176.6022
139,37,179.3146
140,71,182.6348
141,134,263.9743
142,70,301.4744
143,75,302.8434
144,72,417.4983
145,73,490.285
146,52,553.7805
147,51,590.1107
148,39,739.8151
149,40,746.1287
