,State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Andhra Pradesh,19657.4362,757.87991,908.50706,2662.66105,4019.49144,12578.37638,15682.91683,19739.00652,20351.52609,22656.67284,25065.38936,62178.88668,62018.99891,66039.32295,74245.73804,83785.9581,94646.2854,106709.5517
1,Arunachal Pradesh,18567.39195,2606.19307,1394.50872,3295.88228,5816.33703,15311.4244,16326.23144,19620.23401,21815.23527,24166.39078,24993.22854,73560.42534,73248.30829,78574.56208,92344.51125,89054.47285,90897.39695,..
2,Assam,14693.14963,96.79748,737.78569,1449.60132,1769.5052,5433.64406,6058.10587,6660.139,7643.45977,9395.25812,10268.79638,33873.05069,34424.95602,36068.97964,38201.42436,45087.05242,47181.30702,..
3,Bihar,8091.497147,-691.369912,128.397269,-539.515449,269.14043,1679.010095,1277.140406,2722.310003,3106.541653,4621.622273,5038.637933,18760.63654,19318.01858,20028.03795,20579.12421,21522.38128,23945.99897,27075.89527
4,Chhattisgarh,12893.53887,1662.98974,1083.20996,3403.52205,3891.44372,9246.75459,9212.21869,12850.16684,14459.75186,15649.32188,15963.14403,52930.33712,54838.78679,60364.65033,60051.3471,63207.14643,68611.007,72499.46455
5,Goa,46768.48819,419.83561,1934.84243,3858.88908,7682.99179,45556.62904,50206.59879,56699.11021,57692.70371,61679.99231,67571.14911,264442.4637,217151.3665,179172.1561,242416.0616,287421.8049,323674.173,..
6,Gujarat,19647.2649,1109.69924,2602.60396,5884.94148,6978.67382,16872.1125,21527.09958,24338.84412,28820.93299,30175.01838,36428.49411,80123.72814,90618.7967,97354.6861,107369.3263,117991.2262,130730.0355,..
7,Haryana,29174.56374,1451.38169,2777.33533,5234.5305,7486.26258,16184.60678,19356.83449,23891.0167,27024.18637,30290.638,36578.95713,97549.20896,104194.815,113601.0406,119310.2224,130407.5172,141899.058,..
8,Himachal Pradesh,25568.71568,842.37109,1651.93774,2991.06173,5178.41474,13501.53202,16381.16951,19180.4244,21462.68884,23246.18744,25386.23702,77204.06472,83005.06922,90202.30152,97730.71582,106495.7713,114303.0119,121590.8183
9,Jammu & Kashmir,16724.8436,-90.50893,581.67073,1193.5111,1876.55183,9503.43773,10314.39775,11483.77313,12805.20352,14218.34962,15276.70072,47443.57468,46517.97002,48547.78364,44488.1564,55590.58523,58270.85636,..
10,Jharkhand,11723.0885,553.26399,684.82571,1401.36719,3393.58744,10019.83415,8723.01154,8747.67936,12940.03436,11613.84529,13572.00045,36736.25948,40168.61065,39702.27135,45577.9115,40577.39169,46039.55216,47669.97769
