,State,Management,Year,Specialisation,Seats,censuscode,ST_CEN_CD,UG_PG,st_new
0,GUJARAT,Private,2001.0,All,23.0,474.0,12.0,PG,Gujarat
1,HARYANA,Private,2001.0,All,23.0,70.0,13.0,PG,Haryana
2,JAMMU & KASHMIR,Private,2001.0,All,0.0,14.0,15.0,PG,Jammu & Kashmir
3,KARNATAKA,Private,2001.0,All,954.0,556.0,17.0,PG,Karnataka
4,KERALA,Private,2001.0,All,4.0,598.0,18.0,PG,Kerala
5,MADHYA PRADESH,Private,2001.0,All,101.0,465.0,20.0,PG,Madhya Pradesh
6,MAHARASHTRA,Private,2001.0,All,169.0,522.0,21.0,PG,Maharashtra
7,ODISHA,Private,2001.0,All,0.0,384.0,26.0,PG,Odisha
8,PUDUCHERRY,Private,2001.0,All,0.0,636.0,27.0,PG,Puducherry
9,PUNJAB,Private,2001.0,All,130.0,49.0,28.0,PG,Punjab
10,RAJASTHAN,Private,2001.0,All,39.0,119.0,29.0,PG,Rajasthan
11,SIKKIM,Private,2001.0,All,0.0,244.0,30.0,PG,Sikkim
12,TAMIL NADU,Private,2001.0,All,255.0,616.0,31.0,PG,Tamil Nadu
13,UTTAR PRADESH,Private,2001.0,All,2.0,146.0,34.0,PG,Uttar Pradesh
14,UTTARAKHAND,Private,2001.0,All,70.0,64.0,35.0,PG,Uttarakhand
15,WEST BENGAL,Private,2001.0,All,19.0,339.0,36.0,PG,West Bengal
16,ASSAM,Public,2001.0,All,294.0,324.0,4.0,PG,Assam
17,BIHAR,Public,2001.0,All,257.0,209.0,5.0,PG,Bihar
18,CHANDIGARH,Public,2001.0,All,30.0,55.0,6.0,PG,Chandigarh
19,CHHATTISGARH,Public,2001.0,All,54.0,414.0,7.0,PG,Chhattisgarh
20,NCT OF DELHI,Public,2001.0,All,1609.0,95.0,10.0,PG,NCT of Delhi
21,GOA,Public,2001.0,All,49.0,585.0,11.0,PG,Goa
22,GUJARAT,Public,2001.0,All,310.0,474.0,12.0,PG,Gujarat
23,HARYANA,Public,2001.0,All,180.0,70.0,13.0,PG,Haryana
24,HIMACHAL PRADESH,Public,2001.0,All,12.0,30.0,14.0,PG,Himachal Pradesh
25,JAMMU & KASHMIR,Public,2001.0,All,155.0,14.0,15.0,PG,Jammu & Kashmir
26,JHARKHAND,Public,2001.0,All,66.0,355.0,16.0,PG,Jharkhand
27,KARNATAKA,Public,2001.0,All,618.0,556.0,17.0,PG,Karnataka
28,KERALA,Public,2001.0,All,303.0,598.0,18.0,PG,Kerala
29,MADHYA PRADESH,Public,2001.0,All,423.0,465.0,20.0,PG,Madhya Pradesh
30,MAHARASHTRA,Public,2001.0,All,1425.0,522.0,21.0,PG,Maharashtra
31,MANIPUR,Public,2001.0,All,104.0,275.0,22.0,PG,Manipur
32,MEGHALAYA,Public,2001.0,All,2.0,294.0,23.0,PG,Meghalaya
33,ODISHA,Public,2001.0,All,78.0,384.0,26.0,PG,Odisha
34,PUDUCHERRY,Public,2001.0,All,107.0,636.0,27.0,PG,Puducherry
35,PUNJAB,Public,2001.0,All,241.0,49.0,28.0,PG,Punjab
36,RAJASTHAN,Public,2001.0,All,563.0,119.0,29.0,PG,Rajasthan
37,TAMIL NADU,Public,2001.0,All,907.0,616.0,31.0,PG,Tamil Nadu
38,UTTAR PRADESH,Public,2001.0,All,634.0,146.0,34.0,PG,Uttar Pradesh
39,UTTARAKHAND,Public,2001.0,All,0.0,64.0,35.0,PG,Uttarakhand
40,WEST BENGAL,Public,2001.0,All,488.0,339.0,36.0,PG,West Bengal
41,ANDHRA PRADESH,Private,2018.0,All,940.0,553.0,2.0,PG,Andhra Pradesh
42,BIHAR,Private,2018.0,All,186.0,209.0,5.0,PG,Bihar
43,CHHATTISGARH,Private,2018.0,All,0.0,414.0,7.0,PG,Chhattisgarh
44,NCT OF DELHI,Private,2018.0,All,9.0,95.0,10.0,PG,NCT of Delhi
45,GUJARAT,Private,2018.0,All,402.0,474.0,12.0,PG,Gujarat
46,HARYANA,Private,2018.0,All,260.0,70.0,13.0,PG,Haryana
47,HIMACHAL PRADESH,Private,2018.0,All,3.0,30.0,14.0,PG,Himachal Pradesh
48,JAMMU & KASHMIR,Private,2018.0,All,18.0,14.0,15.0,PG,Jammu & Kashmir
49,KARNATAKA,Private,2018.0,All,2947.0,556.0,17.0,PG,Karnataka
50,KERALA,Private,2018.0,All,512.0,598.0,18.0,PG,Kerala
51,MADHYA PRADESH,Private,2018.0,All,361.0,465.0,20.0,PG,Madhya Pradesh
52,MAHARASHTRA,Private,2018.0,All,1543.0,522.0,21.0,PG,Maharashtra
53,ODISHA,Private,2018.0,All,260.0,384.0,26.0,PG,Odisha
54,PUDUCHERRY,Private,2018.0,All,396.0,636.0,27.0,PG,Puducherry
55,PUNJAB,Private,2018.0,All,313.0,49.0,28.0,PG,Punjab
56,RAJASTHAN,Private,2018.0,All,255.0,119.0,29.0,PG,Rajasthan
57,SIKKIM,Private,2018.0,All,22.0,244.0,30.0,PG,Sikkim
58,TAMIL NADU,Private,2018.0,All,1190.0,616.0,31.0,PG,Tamil Nadu
59,TELANGANA,Private,2018.0,All,743.0,532.0,32.0,PG,Telangana
60,TRIPURA,Private,2018.0,All,5.0,291.0,33.0,PG,Tripura
61,UTTAR PRADESH,Private,2018.0,All,701.0,146.0,34.0,PG,Uttar Pradesh
62,UTTARAKHAND,Private,2018.0,All,177.0,64.0,35.0,PG,Uttarakhand
63,WEST BENGAL,Private,2018.0,All,115.0,339.0,36.0,PG,West Bengal
64,ANDAMAN & NICOBAR ISLAND,Public,2018.0,All,0.0,638.0,1.0,PG,Andaman & Nicobar Island
65,ANDHRA PRADESH,Public,2018.0,All,929.0,553.0,2.0,PG,Andhra Pradesh
66,ASSAM,Public,2018.0,All,527.0,324.0,4.0,PG,Assam
67,BIHAR,Public,2018.0,All,502.0,209.0,5.0,PG,Bihar
68,CHANDIGARH,Public,2018.0,All,552.0,55.0,6.0,PG,Chandigarh
69,CHHATTISGARH,Public,2018.0,All,121.0,414.0,7.0,PG,Chhattisgarh
70,NCT OF DELHI,Public,2018.0,All,2566.0,95.0,10.0,PG,NCT of Delhi
71,GOA,Public,2018.0,All,122.0,585.0,11.0,PG,Goa
72,GUJARAT,Public,2018.0,All,1652.0,474.0,12.0,PG,Gujarat
73,HARYANA,Public,2018.0,All,314.0,70.0,13.0,PG,Haryana
74,HIMACHAL PRADESH,Public,2018.0,All,223.0,30.0,14.0,PG,Himachal Pradesh
75,JAMMU & KASHMIR,Public,2018.0,All,453.0,14.0,15.0,PG,Jammu & Kashmir
76,JHARKHAND,Public,2018.0,All,215.0,355.0,16.0,PG,Jharkhand
77,KARNATAKA,Public,2018.0,All,1229.0,556.0,17.0,PG,Karnataka
78,KERALA,Public,2018.0,All,941.0,598.0,18.0,PG,Kerala
79,MADHYA PRADESH,Public,2018.0,All,539.0,465.0,20.0,PG,Madhya Pradesh
80,MAHARASHTRA,Public,2018.0,All,2386.0,522.0,21.0,PG,Maharashtra
81,MANIPUR,Public,2018.0,All,207.0,275.0,22.0,PG,Manipur
82,MEGHALAYA,Public,2018.0,All,22.0,294.0,23.0,PG,Meghalaya
83,ODISHA,Public,2018.0,All,503.0,384.0,26.0,PG,Odisha
84,PUDUCHERRY,Public,2018.0,All,317.0,636.0,27.0,PG,Puducherry
85,PUNJAB,Public,2018.0,All,395.0,49.0,28.0,PG,Punjab
86,RAJASTHAN,Public,2018.0,All,1225.0,119.0,29.0,PG,Rajasthan
87,TAMIL NADU,Public,2018.0,All,1909.0,616.0,31.0,PG,Tamil Nadu
88,TELANGANA,Public,2018.0,All,891.0,532.0,32.0,PG,Telangana
89,TRIPURA,Public,2018.0,All,25.0,291.0,33.0,PG,Tripura
90,UTTAR PRADESH,Public,2018.0,All,1424.0,146.0,34.0,PG,Uttar Pradesh
91,UTTARAKHAND,Public,2018.0,All,74.0,64.0,35.0,PG,Uttarakhand
92,WEST BENGAL,Public,2018.0,All,1375.0,339.0,36.0,PG,West Bengal
93,ASSAM,Both,2001.0,All,294.0,324.0,4.0,PG,Assam
94,BIHAR,Both,2001.0,All,257.0,209.0,5.0,PG,Bihar
95,CHANDIGARH,Both,2001.0,All,30.0,55.0,6.0,PG,Chandigarh
96,CHHATTISGARH,Both,2001.0,All,54.0,414.0,7.0,PG,Chhattisgarh
97,GOA,Both,2001.0,All,49.0,585.0,11.0,PG,Goa
98,GUJARAT,Both,2001.0,All,333.0,474.0,12.0,PG,Gujarat
99,HARYANA,Both,2001.0,All,203.0,70.0,13.0,PG,Haryana
100,HIMACHAL PRADESH,Both,2001.0,All,12.0,30.0,14.0,PG,Himachal Pradesh
101,JAMMU & KASHMIR,Both,2001.0,All,155.0,14.0,15.0,PG,Jammu & Kashmir
102,JHARKHAND,Both,2001.0,All,66.0,355.0,16.0,PG,Jharkhand
103,KARNATAKA,Both,2001.0,All,1572.0,556.0,17.0,PG,Karnataka
104,KERALA,Both,2001.0,All,307.0,598.0,18.0,PG,Kerala
105,MADHYA PRADESH,Both,2001.0,All,524.0,465.0,20.0,PG,Madhya Pradesh
106,MAHARASHTRA,Both,2001.0,All,1594.0,522.0,21.0,PG,Maharashtra
107,MANIPUR,Both,2001.0,All,104.0,275.0,22.0,PG,Manipur
108,MEGHALAYA,Both,2001.0,All,2.0,294.0,23.0,PG,Meghalaya
109,NCT OF DELHI,Both,2001.0,All,1609.0,95.0,10.0,PG,NCT of Delhi
110,ODISHA,Both,2001.0,All,78.0,384.0,26.0,PG,Odisha
111,PUDUCHERRY,Both,2001.0,All,107.0,636.0,27.0,PG,Puducherry
112,PUNJAB,Both,2001.0,All,371.0,49.0,28.0,PG,Punjab
113,RAJASTHAN,Both,2001.0,All,602.0,119.0,29.0,PG,Rajasthan
114,SIKKIM,Both,2001.0,All,0.0,244.0,30.0,PG,Sikkim
115,TAMIL NADU,Both,2001.0,All,1162.0,616.0,31.0,PG,Tamil Nadu
116,UTTAR PRADESH,Both,2001.0,All,636.0,146.0,34.0,PG,Uttar Pradesh
117,UTTARAKHAND,Both,2001.0,All,70.0,64.0,35.0,PG,Uttarakhand
118,WEST BENGAL,Both,2001.0,All,507.0,339.0,36.0,PG,West Bengal
119,ANDAMAN & NICOBAR ISLAND,Both,2018.0,All,0.0,638.0,1.0,PG,Andaman & Nicobar Island
120,ANDHRA PRADESH,Both,2018.0,All,1869.0,553.0,2.0,PG,Andhra Pradesh
121,ASSAM,Both,2018.0,All,527.0,324.0,4.0,PG,Assam
122,BIHAR,Both,2018.0,All,688.0,209.0,5.0,PG,Bihar
123,CHANDIGARH,Both,2018.0,All,552.0,55.0,6.0,PG,Chandigarh
124,CHHATTISGARH,Both,2018.0,All,121.0,414.0,7.0,PG,Chhattisgarh
125,GOA,Both,2018.0,All,122.0,585.0,11.0,PG,Goa
126,GUJARAT,Both,2018.0,All,2054.0,474.0,12.0,PG,Gujarat
127,HARYANA,Both,2018.0,All,574.0,70.0,13.0,PG,Haryana
128,HIMACHAL PRADESH,Both,2018.0,All,226.0,30.0,14.0,PG,Himachal Pradesh
129,JAMMU & KASHMIR,Both,2018.0,All,471.0,14.0,15.0,PG,Jammu & Kashmir
130,JHARKHAND,Both,2018.0,All,215.0,355.0,16.0,PG,Jharkhand
131,KARNATAKA,Both,2018.0,All,4176.0,556.0,17.0,PG,Karnataka
132,KERALA,Both,2018.0,All,1453.0,598.0,18.0,PG,Kerala
133,MADHYA PRADESH,Both,2018.0,All,900.0,465.0,20.0,PG,Madhya Pradesh
134,MAHARASHTRA,Both,2018.0,All,3929.0,522.0,21.0,PG,Maharashtra
135,MANIPUR,Both,2018.0,All,207.0,275.0,22.0,PG,Manipur
136,MEGHALAYA,Both,2018.0,All,22.0,294.0,23.0,PG,Meghalaya
137,NCT OF DELHI,Both,2018.0,All,2575.0,95.0,10.0,PG,NCT of Delhi
138,ODISHA,Both,2018.0,All,763.0,384.0,26.0,PG,Odisha
139,PUDUCHERRY,Both,2018.0,All,713.0,636.0,27.0,PG,Puducherry
140,PUNJAB,Both,2018.0,All,708.0,49.0,28.0,PG,Punjab
141,RAJASTHAN,Both,2018.0,All,1480.0,119.0,29.0,PG,Rajasthan
142,SIKKIM,Both,2018.0,All,22.0,244.0,30.0,PG,Sikkim
143,TAMIL NADU,Both,2018.0,All,3099.0,616.0,31.0,PG,Tamil Nadu
144,TELANGANA,Both,2018.0,All,1634.0,532.0,32.0,PG,Telangana
145,TRIPURA,Both,2018.0,All,30.0,291.0,33.0,PG,Tripura
146,UTTAR PRADESH,Both,2018.0,All,2125.0,146.0,34.0,PG,Uttar Pradesh
147,UTTARAKHAND,Both,2018.0,All,251.0,64.0,35.0,PG,Uttarakhand
148,WEST BENGAL,Both,2018.0,All,1490.0,339.0,36.0,PG,West Bengal
149,ANDHRA PRADESH,Private,2001.0,All,9.0,553.0,2.0,PG,Andhra Pradesh
150,TELANGANA,Private,2001.0,All,9.0,,,PG,Telangana
151,ANDHRA PRADESH,Public,2001.0,All,907.0,553.0,2.0,PG,Andhra Pradesh
152,TELANGANA,Public,2001.0,All,907.0,,,PG,Telangana
153,ANDHRA PRADESH,Both,2001.0,All,916.0,553.0,2.0,PG,Andhra Pradesh
154,TELANGANA,Both,2001.0,All,916.0,,,PG,Telangana
155,GUJARAT,Private,2001.0,Anaesthesia,3.0,474.0,12.0,PG,Gujarat
156,HARYANA,Private,2001.0,Anaesthesia,0.0,70.0,13.0,PG,Haryana
157,JAMMU & KASHMIR,Private,2001.0,Anaesthesia,0.0,14.0,15.0,PG,Jammu & Kashmir
158,KARNATAKA,Private,2001.0,Anaesthesia,94.0,556.0,17.0,PG,Karnataka
159,KERALA,Private,2001.0,Anaesthesia,0.0,598.0,18.0,PG,Kerala
160,MADHYA PRADESH,Private,2001.0,Anaesthesia,3.0,465.0,20.0,PG,Madhya Pradesh
161,MAHARASHTRA,Private,2001.0,Anaesthesia,8.0,522.0,21.0,PG,Maharashtra
162,ODISHA,Private,2001.0,Anaesthesia,0.0,384.0,26.0,PG,Odisha
163,PUDUCHERRY,Private,2001.0,Anaesthesia,0.0,636.0,27.0,PG,Puducherry
164,PUNJAB,Private,2001.0,Anaesthesia,25.0,49.0,28.0,PG,Punjab
165,RAJASTHAN,Private,2001.0,Anaesthesia,0.0,119.0,29.0,PG,Rajasthan
166,SIKKIM,Private,2001.0,Anaesthesia,0.0,244.0,30.0,PG,Sikkim
167,TAMIL NADU,Private,2001.0,Anaesthesia,30.0,616.0,31.0,PG,Tamil Nadu
168,UTTAR PRADESH,Private,2001.0,Anaesthesia,0.0,146.0,34.0,PG,Uttar Pradesh
169,UTTARAKHAND,Private,2001.0,Anaesthesia,5.0,64.0,35.0,PG,Uttarakhand
170,WEST BENGAL,Private,2001.0,Anaesthesia,0.0,339.0,36.0,PG,West Bengal
171,ASSAM,Public,2001.0,Anaesthesia,18.0,324.0,4.0,PG,Assam
172,BIHAR,Public,2001.0,Anaesthesia,21.0,209.0,5.0,PG,Bihar
173,CHANDIGARH,Public,2001.0,Anaesthesia,5.0,55.0,6.0,PG,Chandigarh
174,CHHATTISGARH,Public,2001.0,Anaesthesia,0.0,414.0,7.0,PG,Chhattisgarh
175,NCT OF DELHI,Public,2001.0,Anaesthesia,126.0,95.0,10.0,PG,NCT of Delhi
176,GOA,Public,2001.0,Anaesthesia,3.0,585.0,11.0,PG,Goa
177,GUJARAT,Public,2001.0,Anaesthesia,18.0,474.0,12.0,PG,Gujarat
178,HARYANA,Public,2001.0,Anaesthesia,18.0,70.0,13.0,PG,Haryana
179,HIMACHAL PRADESH,Public,2001.0,Anaesthesia,0.0,30.0,14.0,PG,Himachal Pradesh
180,JAMMU & KASHMIR,Public,2001.0,Anaesthesia,26.0,14.0,15.0,PG,Jammu & Kashmir
181,JHARKHAND,Public,2001.0,Anaesthesia,4.0,355.0,16.0,PG,Jharkhand
182,KARNATAKA,Public,2001.0,Anaesthesia,49.0,556.0,17.0,PG,Karnataka
183,KERALA,Public,2001.0,Anaesthesia,27.0,598.0,18.0,PG,Kerala
184,MADHYA PRADESH,Public,2001.0,Anaesthesia,34.0,465.0,20.0,PG,Madhya Pradesh
185,MAHARASHTRA,Public,2001.0,Anaesthesia,178.0,522.0,21.0,PG,Maharashtra
186,MANIPUR,Public,2001.0,Anaesthesia,10.0,275.0,22.0,PG,Manipur
187,MEGHALAYA,Public,2001.0,Anaesthesia,2.0,294.0,23.0,PG,Meghalaya
188,ODISHA,Public,2001.0,Anaesthesia,15.0,384.0,26.0,PG,Odisha
189,PUDUCHERRY,Public,2001.0,Anaesthesia,0.0,636.0,27.0,PG,Puducherry
190,PUNJAB,Public,2001.0,Anaesthesia,25.0,49.0,28.0,PG,Punjab
191,RAJASTHAN,Public,2001.0,Anaesthesia,62.0,119.0,29.0,PG,Rajasthan
192,TAMIL NADU,Public,2001.0,Anaesthesia,88.0,616.0,31.0,PG,Tamil Nadu
193,UTTAR PRADESH,Public,2001.0,Anaesthesia,50.0,146.0,34.0,PG,Uttar Pradesh
194,UTTARAKHAND,Public,2001.0,Anaesthesia,0.0,64.0,35.0,PG,Uttarakhand
195,WEST BENGAL,Public,2001.0,Anaesthesia,22.0,339.0,36.0,PG,West Bengal
196,ANDHRA PRADESH,Private,2018.0,Anaesthesia,83.0,553.0,2.0,PG,Andhra Pradesh
197,BIHAR,Private,2018.0,Anaesthesia,18.0,209.0,5.0,PG,Bihar
198,CHHATTISGARH,Private,2018.0,Anaesthesia,0.0,414.0,7.0,PG,Chhattisgarh
199,NCT OF DELHI,Private,2018.0,Anaesthesia,0.0,95.0,10.0,PG,NCT of Delhi
200,GUJARAT,Private,2018.0,Anaesthesia,43.0,474.0,12.0,PG,Gujarat
201,HARYANA,Private,2018.0,Anaesthesia,24.0,70.0,13.0,PG,Haryana
202,HIMACHAL PRADESH,Private,2018.0,Anaesthesia,0.0,30.0,14.0,PG,Himachal Pradesh
203,JAMMU & KASHMIR,Private,2018.0,Anaesthesia,4.0,14.0,15.0,PG,Jammu & Kashmir
204,KARNATAKA,Private,2018.0,Anaesthesia,241.0,556.0,17.0,PG,Karnataka
205,KERALA,Private,2018.0,Anaesthesia,55.0,598.0,18.0,PG,Kerala
206,MADHYA PRADESH,Private,2018.0,Anaesthesia,27.0,465.0,20.0,PG,Madhya Pradesh
207,MAHARASHTRA,Private,2018.0,Anaesthesia,134.0,522.0,21.0,PG,Maharashtra
208,ODISHA,Private,2018.0,Anaesthesia,24.0,384.0,26.0,PG,Odisha
209,PUDUCHERRY,Private,2018.0,Anaesthesia,28.0,636.0,27.0,PG,Puducherry
210,PUNJAB,Private,2018.0,Anaesthesia,33.0,49.0,28.0,PG,Punjab
211,RAJASTHAN,Private,2018.0,Anaesthesia,29.0,119.0,29.0,PG,Rajasthan
212,SIKKIM,Private,2018.0,Anaesthesia,0.0,244.0,30.0,PG,Sikkim
213,TAMIL NADU,Private,2018.0,Anaesthesia,74.0,616.0,31.0,PG,Tamil Nadu
214,TELANGANA,Private,2018.0,Anaesthesia,56.0,532.0,32.0,PG,Telangana
215,TRIPURA,Private,2018.0,Anaesthesia,0.0,291.0,33.0,PG,Tripura
216,UTTAR PRADESH,Private,2018.0,Anaesthesia,57.0,146.0,34.0,PG,Uttar Pradesh
217,UTTARAKHAND,Private,2018.0,Anaesthesia,19.0,64.0,35.0,PG,Uttarakhand
218,WEST BENGAL,Private,2018.0,Anaesthesia,6.0,339.0,36.0,PG,West Bengal
219,ANDAMAN & NICOBAR ISLAND,Public,2018.0,Anaesthesia,0.0,638.0,1.0,PG,Andaman & Nicobar Island
220,ANDHRA PRADESH,Public,2018.0,Anaesthesia,91.0,553.0,2.0,PG,Andhra Pradesh
221,ASSAM,Public,2018.0,Anaesthesia,40.0,324.0,4.0,PG,Assam
222,BIHAR,Public,2018.0,Anaesthesia,39.0,209.0,5.0,PG,Bihar
223,CHANDIGARH,Public,2018.0,Anaesthesia,57.0,55.0,6.0,PG,Chandigarh
