,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation
5,Andhra Pradesh,AP,S01,1,Nagarkurnool ,745050,732104,1477305,569056.0,537781.0,1106865,2014,12,,1
7,Andhra Pradesh,AP,S01,1,Guntur,773037,798804,1572017,613894.0,623668.0,1237579,2014,30,,0
23,Andhra Pradesh,AP,S01,1,Bapatla,686494,706353,1392964,583921.0,594010.0,1177932,2014,32,,1
24,Andhra Pradesh,AP,S01,1,Srikakulam,706347,707248,1413726,503114.0,543763.0,1046877,2014,19,,1
28,Andhra Pradesh,AP,S01,1,Secundrabad,1012740,880779,1893741,546289.0,457397.0,1003689,2014,8,,0
30,Andhra Pradesh,AP,S01,1,Rajahmundry,707152,714021,1421276,575432.0,574132.0,1149575,2014,25,,1
38,Andhra Pradesh,AP,S01,1,Mahbubnagar ,713064,705447,1418668,509912.0,499391.0,1009304,2014,11,,1
53,Andhra Pradesh,AP,S01,1,Bhongir,756965,735217,1492240,620408.0,588076.0,1208493,2014,14,,1
55,Andhra Pradesh,AP,S01,1,Zahirabad,717891,727389,1445354,546010.0,546798.0,1092808,2014,5,,1
70,Andhra Pradesh,AP,S01,1,Nellore,796823,809115,1606127,589353.0,590606.0,1179968,2014,39,,0
82,Andhra Pradesh,AP,S01,1,Chittoor,723865,727853,1451851,595000.0,597153.0,1192153,2014,42,,1
83,Andhra Pradesh,AP,S01,1,Aruku,622101,650158,1272340,450038.0,456802.0,906864,2014,18,,1
84,Andhra Pradesh,AP,S01,1,Ongole,736216,733891,1470212,597957.0,599889.0,1197855,2014,33,,1
86,Andhra Pradesh,AP,S01,1,Adilabad,687421,698717,1386282,518481.0,525482.0,1043965,2014,1,,1
105,Andhra Pradesh,AP,S01,1,Karimnagar,777440,773291,1550810,550760.0,569382.0,1120142,2014,3,,0
107,Andhra Pradesh,AP,S01,1,Tirupati,778507,795485,1574161,602087.0,605328.0,1207418,2014,40,,0
113,Andhra Pradesh,AP,S01,1,Nandyal,783126,793585,1576945,601303.0,599288.0,1200607,2014,34,,0
116,Andhra Pradesh,AP,S01,1,Peddapalle,725765,699474,1425355,520741.0,500992.0,1021747,2014,2,,1
117,Andhra Pradesh,AP,S01,1,Kurnool,738832,742805,1481791,543424.0,519253.0,1062680,2014,35,,1
127,Andhra Pradesh,AP,S01,1,Narsapuram,652598,672304,1325028,536507.0,546670.0,1083177,2014,26,,1
130,Andhra Pradesh,AP,S01,1,Visakhapatnam,874909,847941,1723011,583232.0,576946.0,1160178,2014,21,,0
133,Andhra Pradesh,AP,S01,1,Vizianagaram ,700639,702984,1403736,554616.0,564891.0,1119507,2014,20,,1
138,Andhra Pradesh,AP,S01,1,Anakapalli,689109,712301,1401474,561825.0,582294.0,1144120,2014,22,,1
149,Andhra Pradesh,AP,S01,1,Medak,775560,760532,1536166,605044.0,583040.0,1188084,2014,6,,0
153,Andhra Pradesh,AP,S01,1,Khammam,712310,727861,1440267,586887.0,592349.0,1179236,2014,17,,1
155,Andhra Pradesh,AP,S01,1,Kakinada,709103,709050,1418290,555263.0,538635.0,1093933,2014,23,,1
156,Andhra Pradesh,AP,S01,1,Narasaraopet,748474,766262,1514861,635270.0,640887.0,1276157,2014,31,,1
