,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,f_voters_turnout,m_voters_turnout,voters_turnout,log_electors,sex_ratio
5,Andhra Pradesh,AP,S01,1,Nagarkurnool ,745050,732104,1477305,569056.0,537781.0,1106865,2014,12,,73.5,76.37822964901684,74.9,14.21,983
7,Andhra Pradesh,AP,S01,1,Guntur,773037,798804,1572017,613894.0,623668.0,1237579,2014,30,,78.1,79.4132751731159,78.7,14.27,1033
23,Andhra Pradesh,AP,S01,1,Bapatla,686494,706353,1392964,583921.0,594010.0,1177932,2014,32,,84.1,85.05842731327587,84.6,14.15,1029
24,Andhra Pradesh,AP,S01,1,Srikakulam,706347,707248,1413726,503114.0,543763.0,1046877,2014,19,,76.9,71.22759776710313,74.1,14.16,1001
28,Andhra Pradesh,AP,S01,1,Secundrabad,1012740,880779,1893741,546289.0,457397.0,1003689,2014,8,,51.9,53.94168295910106,53.0,14.45,870
30,Andhra Pradesh,AP,S01,1,Rajahmundry,707152,714021,1421276,575432.0,574132.0,1149575,2014,25,,80.4,81.37317012466909,80.9,14.17,1010
38,Andhra Pradesh,AP,S01,1,Mahbubnagar ,713064,705447,1418668,509912.0,499391.0,1009304,2014,11,,70.8,71.50999068807288,71.1,14.17,989
53,Andhra Pradesh,AP,S01,1,Bhongir,756965,735217,1492240,620408.0,588076.0,1208493,2014,14,,80.0,81.95993209725681,81.0,14.22,971
55,Andhra Pradesh,AP,S01,1,Zahirabad,717891,727389,1445354,546010.0,546798.0,1092808,2014,5,,75.2,76.05750733746488,75.6,14.18,1013
70,Andhra Pradesh,AP,S01,1,Nellore,796823,809115,1606127,589353.0,590606.0,1179968,2014,39,,73.0,73.96284996793516,73.5,14.29,1015
82,Andhra Pradesh,AP,S01,1,Chittoor,723865,727853,1451851,595000.0,597153.0,1192153,2014,42,,82.0,82.19764735137076,82.1,14.19,1006
83,Andhra Pradesh,AP,S01,1,Aruku,622101,650158,1272340,450038.0,456802.0,906864,2014,18,,70.3,72.3416294138733,71.3,14.06,1045
84,Andhra Pradesh,AP,S01,1,Ongole,736216,733891,1470212,597957.0,599889.0,1197855,2014,33,,81.7,81.22032121007965,81.5,14.2,997
86,Andhra Pradesh,AP,S01,1,Adilabad,687421,698717,1386282,518481.0,525482.0,1043965,2014,1,,75.2,75.42408509486908,75.3,14.14,1016
105,Andhra Pradesh,AP,S01,1,Karimnagar,777440,773291,1550810,550760.0,569382.0,1120142,2014,3,,73.6,70.84276600123482,72.2,14.25,995
107,Andhra Pradesh,AP,S01,1,Tirupati,778507,795485,1574161,602087.0,605328.0,1207418,2014,40,,76.1,77.3386751821114,76.7,14.27,1022
113,Andhra Pradesh,AP,S01,1,Nandyal,783126,793585,1576945,601303.0,599288.0,1200607,2014,34,,75.5,76.78240793946313,76.1,14.27,1013
116,Andhra Pradesh,AP,S01,1,Peddapalle,725765,699474,1425355,520741.0,500992.0,1021747,2014,2,,71.6,71.75063553629619,71.7,14.17,964
117,Andhra Pradesh,AP,S01,1,Kurnool,738832,742805,1481791,543424.0,519253.0,1062680,2014,35,,69.9,73.5517681962882,71.7,14.21,1005
127,Andhra Pradesh,AP,S01,1,Narsapuram,652598,672304,1325028,536507.0,546670.0,1083177,2014,26,,81.3,82.21094762778924,81.7,14.1,1030
130,Andhra Pradesh,AP,S01,1,Visakhapatnam,874909,847941,1723011,583232.0,576946.0,1160178,2014,21,,68.0,66.6620185642164,67.3,14.36,969
133,Andhra Pradesh,AP,S01,1,Vizianagaram ,700639,702984,1403736,554616.0,564891.0,1119507,2014,20,,80.4,79.15859665248436,79.8,14.15,1003
138,Andhra Pradesh,AP,S01,1,Anakapalli,689109,712301,1401474,561825.0,582294.0,1144120,2014,22,,81.7,81.52919204363897,81.6,14.15,1034
149,Andhra Pradesh,AP,S01,1,Medak,775560,760532,1536166,605044.0,583040.0,1188084,2014,6,,76.7,78.01382227035948,77.3,14.24,981
153,Andhra Pradesh,AP,S01,1,Khammam,712310,727861,1440267,586887.0,592349.0,1179236,2014,17,,81.4,82.39207648355351,81.9,14.18,1022
155,Andhra Pradesh,AP,S01,1,Kakinada,709103,709050,1418290,555263.0,538635.0,1093933,2014,23,,76.0,78.30498531242993,77.1,14.16,1000
156,Andhra Pradesh,AP,S01,1,Narasaraopet,748474,766262,1514861,635270.0,640887.0,1276157,2014,31,,83.6,84.87535973193458,84.2,14.23,1024
157,Andhra Pradesh,AP,S01,1,Vijayawada,781179,783169,1564513,599506.0,589998.0,1189514,2014,29,,75.3,76.74374247131578,76.0,14.26,1003
159,Andhra Pradesh,AP,S01,1,Warangal,771760,765862,1537778,590443.0,580206.0,1170723,2014,15,,75.8,76.50603814657406,76.1,14.25,992
176,Andhra Pradesh,AP,S01,1,Mahabubabad,688341,698868,1387288,560443.0,560406.0,1120853,2014,16,,80.2,81.41938370662216,80.8,14.14,1015
180,Andhra Pradesh,AP,S01,1,Nalgonda,746042,748256,1494343,597237.0,583448.0,1180687,2014,13,,78.0,80.05407202275475,79.0,14.22,1003
186,Andhra Pradesh,AP,S01,1,CHELVELLA,1153061,1031897,2185164,695012.0,617108.0,1312120,2014,10,,59.8,60.27538872618188,60.0,14.6,895
190,Andhra Pradesh,AP,S01,1,Hyderabad,960480,862516,1823217,525811.0,445415.0,971226,2014,9,,51.6,54.74460686323505,53.3,14.42,898
191,Andhra Pradesh,AP,S01,1,Hindupur,734674,711755,1446496,598591.0,572192.0,1170783,2014,37,,80.4,81.47709051906016,80.9,14.18,969
202,Andhra Pradesh,AP,S01,1,Nizamabad,724523,771586,1496193,467172.0,559329.0,1026505,2014,4,,72.5,64.47994059539863,68.6,14.22,1065
204,Andhra Pradesh,AP,S01,1,Kadapa,764947,785380,1550440,583320.0,606195.0,1189516,2014,38,,77.2,76.25626350583767,76.7,14.25,1027
212,Andhra Pradesh,AP,S01,1,Eluru,706952,720738,1427764,600526.0,594189.0,1194720,2014,27,,82.4,84.94579547126254,83.7,14.17,1020
225,Andhra Pradesh,AP,S01,1,Amalapuram,682606,675208,1357865,565013.0,548900.0,1113914,2014,24,,81.3,82.77293196954027,82.0,14.12,989
227,Andhra Pradesh,AP,S01,1,Anantapur,775506,761243,1536894,612936.0,592912.0,1205849,2014,36,,77.9,79.03691267378976,78.5,14.25,982
245,Andhra Pradesh,AP,S01,1,Machilipatnam,675783,693423,1369311,564406.0,569695.0,1134104,2014,28,,82.2,83.51882187033411,82.8,14.13,1026
247,Andhra Pradesh,AP,S01,1,Rajampet,735613,752029,1487791,570991.0,582836.0,1153835,2014,41,,77.5,77.62111327559464,77.6,14.21,1022
291,Assam,AS,S03,1,Kaliabor,752695,704524,1457219,605354.0,561208.0,1166562,2014,55,,79.7,80.42487328864945,80.1,14.19,936
