,StateName,stateabb,PCNAME,t_voters,t_electors,voters_turnout,log_electors,sex_ratio,f_voters_turnout,year
0,Andhra Pradesh,AP,Secunderabad,970791,1770024,54.8,14.39,923,51.4,1999
1,Andhra Pradesh,AP,Hyderabad,1083678,1567225,69.1,14.26,970,65.0,1999
2,Andhra Pradesh,AP,TIRUPATHI (SC),848995,1215573,69.8,14.01,1035,67.3,2004
3,Andhra Pradesh,AP,Hanamkonda,756778,1118951,67.6,13.93,983,65.4,1999
4,Andhra Pradesh,AP,Nizamabad,778332,1129947,68.9,13.94,1090,67.7,1999
5,Andhra Pradesh,AP,Nagarkurnool ,1106865,1477305,74.9,14.21,983,73.5,2014
6,Andhra Pradesh,AP,Rajampet,678817,946311,71.7,13.76,1008,68.1,1999
7,Andhra Pradesh,AP,Guntur,1237579,1572017,78.7,14.27,1033,78.1,2014
8,Andhra Pradesh,AP,Narasaraopet,878186,1262560,69.6,14.05,1002,67.7,1999
9,Andhra Pradesh,AP,ANANTAPUR,873370,1280923,68.2,14.06,994,65.4,2004
11,Andhra Pradesh,AP,Amalapuram,685230,908257,75.4,13.72,1019,71.8,1999
12,Andhra Pradesh,AP,Rajahmundry,823798,1137225,72.4,13.94,1020,69.9,1999
14,Andhra Pradesh,AP,Srikakulam,676413,985232,68.7,13.8,1075,67.3,1999
15,Andhra Pradesh,AP,Adilabad,863330,1131211,76.3,13.94,1045,75.6,2009
18,Andhra Pradesh,AP,Adilabad,770154,1094868,70.3,13.91,1043,68.2,1999
19,Andhra Pradesh,AP,Hindupur,1022666,1377610,74.2,14.14,982,72.7,2009
20,Andhra Pradesh,AP,ANAKAPALLI,781746,1023113,76.4,13.84,1065,74.2,2004
21,Andhra Pradesh,AP,Mahbubnagar,924538,1368868,67.5,14.13,1035,66.1,2009
23,Andhra Pradesh,AP,Bapatla,1177932,1392964,84.6,14.15,1029,84.1,2014
24,Andhra Pradesh,AP,Srikakulam,1046877,1413726,74.1,14.16,1001,76.9,2014
25,Andhra Pradesh,AP,Machilipatnam,1038841,1251053,83.0,14.04,1049,82.1,2009
26,Andhra Pradesh,AP,Nellore,786565,1165144,67.5,13.97,1016,64.0,1999
27,Andhra Pradesh,AP,Nalgonda,1073221,1455016,73.8,14.19,1020,71.9,2009
28,Andhra Pradesh,AP,Secundrabad,1003689,1893741,53.0,14.45,870,51.9,2014
29,Andhra Pradesh,AP,CHITTOOR,874425,1170325,74.7,13.97,1025,72.3,2004
30,Andhra Pradesh,AP,Rajahmundry,1149575,1421276,80.9,14.17,1010,80.4,2014
32,Andhra Pradesh,AP,RAJAHMUNDRY,815493,1074223,75.9,13.89,1024,74.5,2004
33,Andhra Pradesh,AP,BHADRACHALAM (ST),822860,1193297,69.0,13.99,1042,64.8,2004
34,Andhra Pradesh,AP,Bhongir,1125478,1478391,76.1,14.21,988,74.5,2009
35,Andhra Pradesh,AP,Hyderabad,731048,1393242,52.5,14.15,954,50.3,2009
37,Andhra Pradesh,AP,Guntur,794709,1239626,64.1,14.03,1017,61.7,1999
38,Andhra Pradesh,AP,Mahbubnagar ,1009304,1418668,71.1,14.17,989,70.8,2014
41,Andhra Pradesh,AP,Ongole,1014276,1375558,73.7,14.13,1029,73.0,2009
44,Andhra Pradesh,AP,PEDDAPALLI (SC),938802,1386543,67.7,14.14,981,64.8,2004
45,Andhra Pradesh,AP,RAJAMPET,688887,991369,69.5,13.81,1034,66.5,2004
46,Andhra Pradesh,AP,Chittoor,1042027,1291921,80.7,14.07,1026,79.9,2009
47,Andhra Pradesh,AP,Khammam,1029074,1259815,81.7,14.05,1023,81.2,2009
49,Andhra Pradesh,AP,Nagarkurnool,843025,1212569,69.5,14.01,1000,67.6,1999
50,Andhra Pradesh,AP,Vijayawada,947325,1384393,68.4,14.14,985,65.8,1999
52,Andhra Pradesh,AP,Siddipet,1075422,1622094,66.3,14.3,964,64.0,1999
53,Andhra Pradesh,AP,Bhongir,1208493,1492240,81.0,14.22,971,80.0,2014
54,Andhra Pradesh,AP,Cuddapah,739109,1090670,67.8,13.9,1013,65.2,1999
55,Andhra Pradesh,AP,Zahirabad,1092808,1445354,75.6,14.18,1013,75.2,2014
57,Andhra Pradesh,AP,HYDERABAD,986387,1770725,55.7,14.39,973,51.8,2004
61,Andhra Pradesh,AP,Secundrabad,864268,1574818,54.9,14.27,920,52.8,2009
70,Andhra Pradesh,AP,Nellore,1179968,1606127,73.5,14.29,1015,73.0,2014
71,Andhra Pradesh,AP,NALGONDA,1046908,1605163,65.2,14.29,953,62.4,2004
72,Andhra Pradesh,AP,PARVATHIPURAM (ST),660212,896336,73.7,13.71,1072,70.8,2004
74,Andhra Pradesh,AP,Mahabubabad,994531,1265396,78.6,14.05,1032,77.6,2009
75,Andhra Pradesh,AP,Mahabubnagar,830725,1249455,66.5,14.04,1023,64.3,1999
76,Andhra Pradesh,AP,GUNTUR,820124,1172954,69.9,13.98,1026,67.0,2004
78,Andhra Pradesh,AP,Parvathipuram,637051,911609,69.9,13.72,1078,66.3,1999
81,Andhra Pradesh,AP,NARASAPUR,765772,996175,76.9,13.81,1026,75.1,2004
82,Andhra Pradesh,AP,Chittoor,1192153,1451851,82.1,14.19,1006,82.0,2014
83,Andhra Pradesh,AP,Aruku,906864,1272340,71.3,14.06,1045,70.3,2014
84,Andhra Pradesh,AP,Ongole,1197855,1470212,81.5,14.2,997,81.7,2014
85,Andhra Pradesh,AP,KURNOOL,818316,1310724,62.4,14.09,1034,58.7,2004
86,Andhra Pradesh,AP,Adilabad,1043965,1386282,75.3,14.14,1016,75.2,2014
87,Andhra Pradesh,AP,Anakapalli,1043547,1331695,78.4,14.1,1063,77.6,2009
88,Andhra Pradesh,AP,Tirupathi,824694,1199710,68.7,14.0,1025,65.1,1999
89,Andhra Pradesh,AP,Eluru,852429,1147205,74.3,13.95,1007,71.6,1999
90,Andhra Pradesh,AP,Bobbili,716703,949773,75.5,13.76,1050,73.5,1999
91,Andhra Pradesh,AP,KHAMMAM,1020523,1298614,78.6,14.08,1009,78.1,2004
92,Andhra Pradesh,AP,Medak,1056239,1389721,76.0,14.14,1017,75.0,2009
