"","State","Management","Year","Specialisation","Seats","censuscode","ST_CEN_CD","UG_PG","st_new"
"1","GUJARAT","Private","2001","All","23","474","12","PG","Gujarat"
"2","HARYANA","Private","2001","All","23","70","13","PG","Haryana"
"3","JAMMU & KASHMIR","Private","2001","All","0","14","15","PG","Jammu & Kashmir"
"4","KARNATAKA","Private","2001","All","954","556","17","PG","Karnataka"
"5","KERALA","Private","2001","All","4","598","18","PG","Kerala"
"6","MADHYA PRADESH","Private","2001","All","101","465","20","PG","Madhya Pradesh"
"7","MAHARASHTRA","Private","2001","All","169","522","21","PG","Maharashtra"
"8","ODISHA","Private","2001","All","0","384","26","PG","Odisha"
"9","PUDUCHERRY","Private","2001","All","0","636","27","PG","Puducherry"
"10","PUNJAB","Private","2001","All","130","49","28","PG","Punjab"
"11","RAJASTHAN","Private","2001","All","39","119","29","PG","Rajasthan"
"12","SIKKIM","Private","2001","All","0","244","30","PG","Sikkim"
"13","TAMIL NADU","Private","2001","All","255","616","31","PG","Tamil Nadu"
"14","UTTAR PRADESH","Private","2001","All","2","146","34","PG","Uttar Pradesh"
"15","UTTARAKHAND","Private","2001","All","70","64","35","PG","Uttarakhand"
"16","WEST BENGAL","Private","2001","All","19","339","36","PG","West Bengal"
"17","ASSAM","Public","2001","All","294","324","4","PG","Assam"
"18","BIHAR","Public","2001","All","257","209","5","PG","Bihar"
"19","CHANDIGARH","Public","2001","All","30","55","6","PG","Chandigarh"
"20","CHHATTISGARH","Public","2001","All","54","414","7","PG","Chhattisgarh"
"21","NCT OF DELHI","Public","2001","All","1609","95","10","PG","NCT of Delhi"
"22","GOA","Public","2001","All","49","585","11","PG","Goa"
"23","GUJARAT","Public","2001","All","310","474","12","PG","Gujarat"
"24","HARYANA","Public","2001","All","180","70","13","PG","Haryana"
"25","HIMACHAL PRADESH","Public","2001","All","12","30","14","PG","Himachal Pradesh"
"26","JAMMU & KASHMIR","Public","2001","All","155","14","15","PG","Jammu & Kashmir"
"27","JHARKHAND","Public","2001","All","66","355","16","PG","Jharkhand"
"28","KARNATAKA","Public","2001","All","618","556","17","PG","Karnataka"
"29","KERALA","Public","2001","All","303","598","18","PG","Kerala"
"30","MADHYA PRADESH","Public","2001","All","423","465","20","PG","Madhya Pradesh"
"31","MAHARASHTRA","Public","2001","All","1425","522","21","PG","Maharashtra"
"32","MANIPUR","Public","2001","All","104","275","22","PG","Manipur"
"33","MEGHALAYA","Public","2001","All","2","294","23","PG","Meghalaya"
"34","ODISHA","Public","2001","All","78","384","26","PG","Odisha"
"35","PUDUCHERRY","Public","2001","All","107","636","27","PG","Puducherry"
"36","PUNJAB","Public","2001","All","241","49","28","PG","Punjab"
"37","RAJASTHAN","Public","2001","All","563","119","29","PG","Rajasthan"
"38","TAMIL NADU","Public","2001","All","907","616","31","PG","Tamil Nadu"
"39","UTTAR PRADESH","Public","2001","All","634","146","34","PG","Uttar Pradesh"
"40","UTTARAKHAND","Public","2001","All","0","64","35","PG","Uttarakhand"
"41","WEST BENGAL","Public","2001","All","488","339","36","PG","West Bengal"
"42","ANDHRA PRADESH","Private","2018","All","940","553","2","PG","Andhra Pradesh"
"43","BIHAR","Private","2018","All","186","209","5","PG","Bihar"
"44","CHHATTISGARH","Private","2018","All","0","414","7","PG","Chhattisgarh"
"45","NCT OF DELHI","Private","2018","All","9","95","10","PG","NCT of Delhi"
"46","GUJARAT","Private","2018","All","402","474","12","PG","Gujarat"
"47","HARYANA","Private","2018","All","260","70","13","PG","Haryana"
"48","HIMACHAL PRADESH","Private","2018","All","3","30","14","PG","Himachal Pradesh"
"49","JAMMU & KASHMIR","Private","2018","All","18","14","15","PG","Jammu & Kashmir"
"50","KARNATAKA","Private","2018","All","2947","556","17","PG","Karnataka"
"51","KERALA","Private","2018","All","512","598","18","PG","Kerala"
"52","MADHYA PRADESH","Private","2018","All","361","465","20","PG","Madhya Pradesh"
"53","MAHARASHTRA","Private","2018","All","1543","522","21","PG","Maharashtra"
"54","ODISHA","Private","2018","All","260","384","26","PG","Odisha"
"55","PUDUCHERRY","Private","2018","All","396","636","27","PG","Puducherry"
"56","PUNJAB","Private","2018","All","313","49","28","PG","Punjab"
"57","RAJASTHAN","Private","2018","All","255","119","29","PG","Rajasthan"
"58","SIKKIM","Private","2018","All","22","244","30","PG","Sikkim"
"59","TAMIL NADU","Private","2018","All","1190","616","31","PG","Tamil Nadu"
"60","TELANGANA","Private","2018","All","743","532","32","PG","Telangana"
"61","TRIPURA","Private","2018","All","5","291","33","PG","Tripura"
"62","UTTAR PRADESH","Private","2018","All","701","146","34","PG","Uttar Pradesh"
"63","UTTARAKHAND","Private","2018","All","177","64","35","PG","Uttarakhand"
"64","WEST BENGAL","Private","2018","All","115","339","36","PG","West Bengal"
"65","ANDAMAN & NICOBAR ISLAND","Public","2018","All","0","638","1","PG","Andaman & Nicobar Island"
"66","ANDHRA PRADESH","Public","2018","All","929","553","2","PG","Andhra Pradesh"
"67","ASSAM","Public","2018","All","527","324","4","PG","Assam"
"68","BIHAR","Public","2018","All","502","209","5","PG","Bihar"
"69","CHANDIGARH","Public","2018","All","552","55","6","PG","Chandigarh"
"70","CHHATTISGARH","Public","2018","All","121","414","7","PG","Chhattisgarh"
"71","NCT OF DELHI","Public","2018","All","2566","95","10","PG","NCT of Delhi"
"72","GOA","Public","2018","All","122","585","11","PG","Goa"
"73","GUJARAT","Public","2018","All","1652","474","12","PG","Gujarat"
