"","State","Year","Pop","X.1","X","Management","Specialisation","Seats","censuscode","ST_CEN_CD","UG_PG","st_new","Seats2"
"1","UTTAR PRADESH",2001,166053600,14,14,"Private","All",2,146,34,"PG","Uttar Pradesh",0.0120443037669764
"2","UTTAR PRADESH",2001,166053600,39,39,"Public","All",634,146,34,"PG","Uttar Pradesh",3.81804429413153
"3","UTTAR PRADESH",2001,166053600,117,117,"Both","All",636,146,34,"PG","Uttar Pradesh",3.83008859789851
"4","UTTAR PRADESH",2001,166053600,169,169,"Private","Anaesthesia",0,146,34,"PG","Uttar Pradesh",0
"5","UTTAR PRADESH",2001,166053600,194,194,"Public","Anaesthesia",50,146,34,"PG","Uttar Pradesh",0.301107594174411
"6","UTTAR PRADESH",2001,166053600,272,272,"Both","Anaesthesia",50,146,34,"PG","Uttar Pradesh",0.301107594174411
"7","UTTAR PRADESH",2001,166053600,324,324,"Private","Cardiology",0,146,34,"PG","Uttar Pradesh",0
"8","UTTAR PRADESH",2001,166053600,349,349,"Public","Cardiology",22,146,34,"PG","Uttar Pradesh",0.132487341436741
"9","UTTAR PRADESH",2001,166053600,427,427,"Both","Cardiology",22,146,34,"PG","Uttar Pradesh",0.132487341436741
"10","UTTAR PRADESH",2001,166053600,479,479,"Private","Neurology",0,146,34,"PG","Uttar Pradesh",0
"11","UTTAR PRADESH",2001,166053600,504,504,"Public","Neurology",23,146,34,"PG","Uttar Pradesh",0.138509493320229
"12","UTTAR PRADESH",2001,166053600,582,582,"Both","Neurology",23,146,34,"PG","Uttar Pradesh",0.138509493320229
"13","UTTAR PRADESH",2001,166053600,634,634,"Private","Oncology",0,146,34,"PG","Uttar Pradesh",0
"14","UTTAR PRADESH",2001,166053600,659,659,"Public","Oncology",0,146,34,"PG","Uttar Pradesh",0
"15","UTTAR PRADESH",2001,166053600,737,737,"Both","Oncology",0,146,34,"PG","Uttar Pradesh",0
"16","UTTAR PRADESH",2001,166053600,789,789,"Private","Psychiatry",0,146,34,"PG","Uttar Pradesh",0
"17","UTTAR PRADESH",2001,166053600,814,814,"Public","Psychiatry",10,146,34,"PG","Uttar Pradesh",0.0602215188348822
"18","UTTAR PRADESH",2001,166053600,892,892,"Both","Psychiatry",10,146,34,"PG","Uttar Pradesh",0.0602215188348822
"19","UTTAR PRADESH",2001,166053600,944,944,"Private","Forensic",2,146,34,"PG","Uttar Pradesh",0.0120443037669764
"20","UTTAR PRADESH",2001,166053600,969,969,"Public","Forensic",5,146,34,"PG","Uttar Pradesh",0.0301107594174411
