,Unnamed: 0,State,Year,Pop,X.1,X,Management,Specialisation,Seats,censuscode,ST_CEN_CD,UG_PG,st_new,Seats2
0,1,UTTAR PRADESH,2001.0,166053600.0,14.0,14.0,Private,All,2.0,146.0,34.0,PG,Uttar Pradesh,0.0120443037669764
1,2,UTTAR PRADESH,2001.0,166053600.0,39.0,39.0,Public,All,634.0,146.0,34.0,PG,Uttar Pradesh,3.81804429413153
2,3,UTTAR PRADESH,2001.0,166053600.0,117.0,117.0,Both,All,636.0,146.0,34.0,PG,Uttar Pradesh,3.8300885978985093
3,4,UTTAR PRADESH,2001.0,166053600.0,169.0,169.0,Private,Anaesthesia,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
4,5,UTTAR PRADESH,2001.0,166053600.0,194.0,194.0,Public,Anaesthesia,50.0,146.0,34.0,PG,Uttar Pradesh,0.301107594174411
5,6,UTTAR PRADESH,2001.0,166053600.0,272.0,272.0,Both,Anaesthesia,50.0,146.0,34.0,PG,Uttar Pradesh,0.301107594174411
6,7,UTTAR PRADESH,2001.0,166053600.0,324.0,324.0,Private,Cardiology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
7,8,UTTAR PRADESH,2001.0,166053600.0,349.0,349.0,Public,Cardiology,22.0,146.0,34.0,PG,Uttar Pradesh,0.13248734143674099
8,9,UTTAR PRADESH,2001.0,166053600.0,427.0,427.0,Both,Cardiology,22.0,146.0,34.0,PG,Uttar Pradesh,0.13248734143674099
9,10,UTTAR PRADESH,2001.0,166053600.0,479.0,479.0,Private,Neurology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
10,11,UTTAR PRADESH,2001.0,166053600.0,504.0,504.0,Public,Neurology,23.0,146.0,34.0,PG,Uttar Pradesh,0.138509493320229
11,12,UTTAR PRADESH,2001.0,166053600.0,582.0,582.0,Both,Neurology,23.0,146.0,34.0,PG,Uttar Pradesh,0.138509493320229
12,13,UTTAR PRADESH,2001.0,166053600.0,634.0,634.0,Private,Oncology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
13,14,UTTAR PRADESH,2001.0,166053600.0,659.0,659.0,Public,Oncology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
14,15,UTTAR PRADESH,2001.0,166053600.0,737.0,737.0,Both,Oncology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
15,16,UTTAR PRADESH,2001.0,166053600.0,789.0,789.0,Private,Psychiatry,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
16,17,UTTAR PRADESH,2001.0,166053600.0,814.0,814.0,Public,Psychiatry,10.0,146.0,34.0,PG,Uttar Pradesh,0.0602215188348822
17,18,UTTAR PRADESH,2001.0,166053600.0,892.0,892.0,Both,Psychiatry,10.0,146.0,34.0,PG,Uttar Pradesh,0.0602215188348822
18,19,UTTAR PRADESH,2001.0,166053600.0,944.0,944.0,Private,Forensic,2.0,146.0,34.0,PG,Uttar Pradesh,0.0120443037669764
19,20,UTTAR PRADESH,2001.0,166053600.0,969.0,969.0,Public,Forensic,5.0,146.0,34.0,PG,Uttar Pradesh,0.0301107594174411
20,21,UTTAR PRADESH,2001.0,166053600.0,1047.0,1047.0,Both,Forensic,7.0,146.0,34.0,PG,Uttar Pradesh,0.0421550631844176
21,22,UTTAR PRADESH,2001.0,166053600.0,1099.0,1099.0,Private,Haematology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
22,23,UTTAR PRADESH,2001.0,166053600.0,1124.0,1124.0,Public,Haematology,2.0,146.0,34.0,PG,Uttar Pradesh,0.0120443037669764
23,24,UTTAR PRADESH,2001.0,166053600.0,1202.0,1202.0,Both,Haematology,2.0,146.0,34.0,PG,Uttar Pradesh,0.0120443037669764
24,25,UTTAR PRADESH,2001.0,166053600.0,1254.0,1254.0,Private,Gynaecology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
25,26,UTTAR PRADESH,2001.0,166053600.0,1279.0,1279.0,Public,Gynaecology,52.0,146.0,34.0,PG,Uttar Pradesh,0.313151897941388
26,27,UTTAR PRADESH,2001.0,166053600.0,1357.0,1357.0,Both,Gynaecology,52.0,146.0,34.0,PG,Uttar Pradesh,0.313151897941388
27,28,UTTAR PRADESH,2001.0,166053600.0,1409.0,1409.0,Private,Endocrinology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
28,29,UTTAR PRADESH,2001.0,166053600.0,1434.0,1434.0,Public,Endocrinology,5.0,146.0,34.0,PG,Uttar Pradesh,0.0301107594174411
29,30,UTTAR PRADESH,2001.0,166053600.0,1512.0,1512.0,Both,Endocrinology,5.0,146.0,34.0,PG,Uttar Pradesh,0.0301107594174411
30,31,UTTAR PRADESH,2001.0,166053600.0,1564.0,1564.0,Private,Ophthalmology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
31,32,UTTAR PRADESH,2001.0,166053600.0,1589.0,1589.0,Public,Ophthalmology,40.0,146.0,34.0,PG,Uttar Pradesh,0.240886075339529
32,33,UTTAR PRADESH,2001.0,166053600.0,1667.0,1667.0,Both,Ophthalmology,40.0,146.0,34.0,PG,Uttar Pradesh,0.240886075339529
33,34,UTTAR PRADESH,2001.0,166053600.0,1719.0,1719.0,Private,Pulmonology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
34,35,UTTAR PRADESH,2001.0,166053600.0,1744.0,1744.0,Public,Pulmonology,18.0,146.0,34.0,PG,Uttar Pradesh,0.10839873390278801
35,36,UTTAR PRADESH,2001.0,166053600.0,1822.0,1822.0,Both,Pulmonology,18.0,146.0,34.0,PG,Uttar Pradesh,0.10839873390278801
36,37,UTTAR PRADESH,2001.0,166053600.0,1874.0,1874.0,Private,Physiology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
37,38,UTTAR PRADESH,2001.0,166053600.0,1899.0,1899.0,Public,Physiology,14.0,146.0,34.0,PG,Uttar Pradesh,0.0843101263688351
38,39,UTTAR PRADESH,2001.0,166053600.0,1977.0,1977.0,Both,Physiology,14.0,146.0,34.0,PG,Uttar Pradesh,0.0843101263688351
39,40,UTTAR PRADESH,2001.0,166053600.0,2029.0,2029.0,Private,Thoracic,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
40,41,UTTAR PRADESH,2001.0,166053600.0,2054.0,2054.0,Public,Thoracic,5.0,146.0,34.0,PG,Uttar Pradesh,0.0301107594174411
41,42,UTTAR PRADESH,2001.0,166053600.0,2132.0,2132.0,Both,Thoracic,5.0,146.0,34.0,PG,Uttar Pradesh,0.0301107594174411
42,43,UTTAR PRADESH,2001.0,166053600.0,2184.0,2184.0,Private,Pharmacology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
43,44,UTTAR PRADESH,2001.0,166053600.0,2209.0,2209.0,Public,Pharmacology,12.0,146.0,34.0,PG,Uttar Pradesh,0.0722658226018587
44,45,UTTAR PRADESH,2001.0,166053600.0,2287.0,2287.0,Both,Pharmacology,12.0,146.0,34.0,PG,Uttar Pradesh,0.0722658226018587
45,46,UTTAR PRADESH,2001.0,166053600.0,2339.0,2339.0,Private,Dermatology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
46,47,UTTAR PRADESH,2001.0,166053600.0,2364.0,2364.0,Public,Dermatology,12.0,146.0,34.0,PG,Uttar Pradesh,0.0722658226018587
47,48,UTTAR PRADESH,2001.0,166053600.0,2442.0,2442.0,Both,Dermatology,12.0,146.0,34.0,PG,Uttar Pradesh,0.0722658226018587
48,49,UTTAR PRADESH,2001.0,166053600.0,2494.0,2494.0,Private,Radiology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
49,50,UTTAR PRADESH,2001.0,166053600.0,2519.0,2519.0,Public,Radiology,20.0,146.0,34.0,PG,Uttar Pradesh,0.12044303766976401
50,51,UTTAR PRADESH,2001.0,166053600.0,2597.0,2597.0,Both,Radiology,20.0,146.0,34.0,PG,Uttar Pradesh,0.12044303766976401
51,52,UTTAR PRADESH,2001.0,166053600.0,2649.0,2649.0,Private,Microbiology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
52,53,UTTAR PRADESH,2001.0,166053600.0,2674.0,2674.0,Public,Microbiology,5.0,146.0,34.0,PG,Uttar Pradesh,0.0301107594174411
53,54,UTTAR PRADESH,2001.0,166053600.0,2752.0,2752.0,Both,Microbiology,5.0,146.0,34.0,PG,Uttar Pradesh,0.0301107594174411
54,55,UTTAR PRADESH,2001.0,166053600.0,2804.0,2804.0,Private,Orthopaedics,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
55,56,UTTAR PRADESH,2001.0,166053600.0,2829.0,2829.0,Public,Orthopaedics,38.0,146.0,34.0,PG,Uttar Pradesh,0.22884177157255198
56,57,UTTAR PRADESH,2001.0,166053600.0,2907.0,2907.0,Both,Orthopaedics,38.0,146.0,34.0,PG,Uttar Pradesh,0.22884177157255198
57,58,UTTAR PRADESH,2001.0,166053600.0,2959.0,2959.0,Private,Anatomy,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
58,59,UTTAR PRADESH,2001.0,166053600.0,2984.0,2984.0,Public,Anatomy,15.0,146.0,34.0,PG,Uttar Pradesh,0.0903322782523233
59,60,UTTAR PRADESH,2001.0,166053600.0,3062.0,3062.0,Both,Anatomy,15.0,146.0,34.0,PG,Uttar Pradesh,0.0903322782523233
60,61,UTTAR PRADESH,2001.0,166053600.0,3114.0,3114.0,Private,General,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
61,62,UTTAR PRADESH,2001.0,166053600.0,3139.0,3139.0,Public,General,114.0,146.0,34.0,PG,Uttar Pradesh,0.686525314717657
62,63,UTTAR PRADESH,2001.0,166053600.0,3217.0,3217.0,Both,General,114.0,146.0,34.0,PG,Uttar Pradesh,0.686525314717657
63,64,UTTAR PRADESH,2001.0,166053600.0,3269.0,3269.0,Private,Paediatrics,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
64,65,UTTAR PRADESH,2001.0,166053600.0,3294.0,3294.0,Public,Paediatrics,33.0,146.0,34.0,PG,Uttar Pradesh,0.19873101215511102
65,66,UTTAR PRADESH,2001.0,166053600.0,3372.0,3372.0,Both,Paediatrics,33.0,146.0,34.0,PG,Uttar Pradesh,0.19873101215511102
66,67,UTTAR PRADESH,2001.0,166053600.0,3424.0,3424.0,Private,Urology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
67,68,UTTAR PRADESH,2001.0,166053600.0,3449.0,3449.0,Public,Urology,8.0,146.0,34.0,PG,Uttar Pradesh,0.0481772150679058
68,69,UTTAR PRADESH,2001.0,166053600.0,3527.0,3527.0,Both,Urology,8.0,146.0,34.0,PG,Uttar Pradesh,0.0481772150679058
69,70,UTTAR PRADESH,2001.0,166053600.0,3579.0,3579.0,Private,Nephrology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
70,71,UTTAR PRADESH,2001.0,166053600.0,3604.0,3604.0,Public,Nephrology,6.0,146.0,34.0,PG,Uttar Pradesh,0.0361329113009293
71,72,UTTAR PRADESH,2001.0,166053600.0,3682.0,3682.0,Both,Nephrology,6.0,146.0,34.0,PG,Uttar Pradesh,0.0361329113009293
72,73,UTTAR PRADESH,2001.0,166053600.0,3734.0,3734.0,Private,Gastroenterology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
73,74,UTTAR PRADESH,2001.0,166053600.0,3759.0,3759.0,Public,Gastroenterology,12.0,146.0,34.0,PG,Uttar Pradesh,0.0722658226018587
74,75,UTTAR PRADESH,2001.0,166053600.0,3837.0,3837.0,Both,Gastroenterology,12.0,146.0,34.0,PG,Uttar Pradesh,0.0722658226018587
