"","X","State","Management","Year","Specialisation","Seats","censuscode","ST_CEN_CD","UG_PG","st_new"
"1",1,"GUJARAT","Private",2001,"All",23,474,12,"PG","Gujarat"
"2",2,"HARYANA","Private",2001,"All",23,70,13,"PG","Haryana"
"3",3,"JAMMU & KASHMIR","Private",2001,"All",0,14,15,"PG","Jammu & Kashmir"
"4",4,"KARNATAKA","Private",2001,"All",954,556,17,"PG","Karnataka"
"5",5,"KERALA","Private",2001,"All",4,598,18,"PG","Kerala"
"6",6,"MADHYA PRADESH","Private",2001,"All",101,465,20,"PG","Madhya Pradesh"
"7",7,"MAHARASHTRA","Private",2001,"All",169,522,21,"PG","Maharashtra"
"8",8,"ODISHA","Private",2001,"All",0,384,26,"PG","Odisha"
"9",9,"PUDUCHERRY","Private",2001,"All",0,636,27,"PG","Puducherry"
"10",10,"PUNJAB","Private",2001,"All",130,49,28,"PG","Punjab"
"11",11,"RAJASTHAN","Private",2001,"All",39,119,29,"PG","Rajasthan"
"12",12,"SIKKIM","Private",2001,"All",0,244,30,"PG","Sikkim"
"13",13,"TAMIL NADU","Private",2001,"All",255,616,31,"PG","Tamil Nadu"
"14",14,"UTTAR PRADESH","Private",2001,"All",2,146,34,"PG","Uttar Pradesh"
"15",15,"UTTARAKHAND","Private",2001,"All",70,64,35,"PG","Uttarakhand"
"16",16,"WEST BENGAL","Private",2001,"All",19,339,36,"PG","West Bengal"
"17",17,"ASSAM","Public",2001,"All",294,324,4,"PG","Assam"
"18",18,"BIHAR","Public",2001,"All",257,209,5,"PG","Bihar"
"19",19,"CHANDIGARH","Public",2001,"All",30,55,6,"PG","Chandigarh"
"20",20,"CHHATTISGARH","Public",2001,"All",54,414,7,"PG","Chhattisgarh"
"21",21,"NCT OF DELHI","Public",2001,"All",1609,95,10,"PG","NCT of Delhi"
"22",22,"GOA","Public",2001,"All",49,585,11,"PG","Goa"
"23",23,"GUJARAT","Public",2001,"All",310,474,12,"PG","Gujarat"
"24",24,"HARYANA","Public",2001,"All",180,70,13,"PG","Haryana"
"25",25,"HIMACHAL PRADESH","Public",2001,"All",12,30,14,"PG","Himachal Pradesh"
"26",26,"JAMMU & KASHMIR","Public",2001,"All",155,14,15,"PG","Jammu & Kashmir"
"27",27,"JHARKHAND","Public",2001,"All",66,355,16,"PG","Jharkhand"
