long1,lat,id1,statename,stateabb,pcname,m_electors,f_electors,t_electors,sex_ratio_e,f_vote_turnout,m_vote_turnout,c,l_t,group
92.875061,12.903172,1,Andaman & Nicobar Islands,AD,Andaman & Nicobar Islands,142783,126577,269360,1128,70.379295,70.827057,0,3.75,AD: Andaman & Nicobar Islands
78.812912,19.330114,28,Andhra Pradesh,AP,Adilabad,687421,698717,1386282,984,75.206703,75.424088,0,3.75,AP: Adilabad
82.023911,16.665276,17,Andhra Pradesh,AP,Amalapuram,682606,675208,1357865,1011,81.293465,82.772934,0,3.75,AP: Amalapuram
82.831581,17.666245,6,Andhra Pradesh,AP,Anakapalli,689109,712301,1401474,967,81.748306,81.52919,0,3.75,AP: Anakapalli
77.40239,14.79776,31,Andhra Pradesh,AP,Anantapur,775506,761243,1536894,1019,77.887352,79.036911,1,5,AP: Anantapur
82.606361,18.088041,3,Andhra Pradesh,AP,Aruku,622101,650158,1272340,957,70.260155,72.341629,0,3.75,AP: Aruku
80.308327,15.879751,22,Andhra Pradesh,AP,Bapatla,686494,706353,1392964,972,84.095345,85.058426,0,3.75,AP: Bapatla
79.055969,17.382198,7,Andhra Pradesh,AP,Bhongir,756965,735217,1492240,1030,79.986725,81.95993,1,5,AP: Bhongir
77.985161,17.260582,8,Andhra Pradesh,AP,Chelvella,1153061,1031897,2185164,1117,59.803257,60.275391,3,10,AP: Chelvella
78.994316,13.254227,35,Andhra Pradesh,AP,Chittoor,723865,727853,1451851,995,82.043076,82.197647,1,5,AP: Chittoor
81.195457,16.924559,10,Andhra Pradesh,AP,Eluru,706952,720738,1427764,981,82.44175,84.945793,1,5,AP: Eluru
80.476341,16.290016,20,Andhra Pradesh,AP,Guntur,773037,798804,1572017,968,78.075226,79.413277,2,7.5,AP: Guntur
77.746964,14.172292,37,Andhra Pradesh,AP,Hindupur,734674,711755,1446496,1032,80.391708,81.477089,1,5,AP: Hindupur
78.478775,17.356205,42,Andhra Pradesh,AP,Hyderabad,960480,862516,1823217,1114,51.641361,54.744606,3,10,AP: Hyderabad
78.643944,14.667988,32,Andhra Pradesh,AP,Kadapa,764947,785380,1550440,974,77.184929,76.256264,1,5,AP: Kadapa
82.234131,17.226692,27,Andhra Pradesh,AP,Kakinada,709103,709050,1418290,1000,75.965729,78.304985,0,3.75,AP: Kakinada
79.04718,18.38579,24,Andhra Pradesh,AP,Karimnagar,777440,773291,1550810,1005,73.631012,70.842766,1,5,AP: Karimnagar
80.609459,17.3183,4,Andhra Pradesh,AP,Khammam,712310,727861,1440267,979,81.382156,82.392075,1,5,AP: Khammam
77.486603,15.590533,23,Andhra Pradesh,AP,Kurnool,738832,742805,1481791,995,69.90435,73.551765,1,5,AP: Kurnool
80.983345,16.282227,19,Andhra Pradesh,AP,Machilipatnam,675783,693423,1369311,975,82.156921,83.518822,0,3.75,AP: Machilipatnam
80.462212,17.914938,34,Andhra Pradesh,AP,Mahabubabad,688341,698868,1387288,985,80.187675,81.41938,0,3.75,AP: Mahabubabad
77.850967,16.755157,38,Andhra Pradesh,AP,Mahbubnagar,713064,705447,1418668,1011,70.790718,71.509987,0,3.75,AP: Mahbubnagar
78.551529,17.530567,43,Andhra Pradesh,AP,Malkajgiri,1723261,1459417,3183083,1181,50.793228,50.900936,3,10,AP: Malkajgiri
78.466698,17.894159,5,Andhra Pradesh,AP,Medak,775560,760532,1536166,1020,76.662125,78.013824,1,5,AP: Medak
78.331245,16.337591,16,Andhra Pradesh,AP,Nagarkurnool,745050,732104,1477305,1018,73.456917,76.378227,1,5,AP: Nagarkurnool
79.419037,16.857651,14,Andhra Pradesh,AP,Nalgonda,746042,748256,1494343,997,77.97438,80.05407,1,5,AP: Nalgonda
78.358215,15.495056,33,Andhra Pradesh,AP,Nandyal,783126,793585,1576945,987,75.516548,76.78241,2,7.5,AP: Nandyal
79.820114,16.365484,18,Andhra Pradesh,AP,Narasaraopet,748474,766262,1514861,977,83.6381,84.875359,1,5,AP: Narasaraopet
81.596146,16.598112,15,Andhra Pradesh,AP,Narsapuram,652598,672304,1325028,971,81.31292,82.210945,0,3.75,AP: Narsapuram
